"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 06 20:11:25 GMT 2024","Sat Jul 06 20:12:29 GMT 2024","63966","chromium","","Templates","","","TC_07_29_01 | Verify that the user can delete the template","Objective: Verify that the user can successfully delete a template."
"passed","Sat Jul 06 19:26:40 GMT 2024","Sat Jul 06 19:27:20 GMT 2024","40769","chromium","","CreateDocument","","","TC_03_07_06 | Verify user can create, sign, and send a document to another signer","Objective: To verify the process of creating, signing, and sending a document to another signer."
"passed","Sat Jul 06 19:42:37 GMT 2024","Sat Jul 06 19:44:00 GMT 2024","83433","chromium","","Sign Document","","","TC_04_11_01 | Verify custom signing order","To verify custom signing order"
"passed","Sat Jul 06 19:27:20 GMT 2024","Sat Jul 06 19:28:12 GMT 2024","51789","chromium","","CreateDocument","","","TC_03_07_03 | Verify user can create document and send it for signature","Objective: To verify the process of creating and sending a document for signature."
"passed","Sat Jul 06 19:59:15 GMT 2024","Sat Jul 06 20:00:17 GMT 2024","61915","chromium","","DocumentsType","","","TC_05_21_03 | Verify that document_status is  Draft","Objective: To verify that the document can be returned for editing."
"passed","Sat Jul 06 19:45:27 GMT 2024","Sat Jul 06 19:46:21 GMT 2024","53983","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself","Objective: To verify sign document as myself"
"failed","Sat Jul 06 20:44:26 GMT 2024","Sat Jul 06 20:45:24 GMT 2024","58304","chromium","","Profile","","","TC_11_44_01 | Verify User can change email","Objective: To verify that the User can change a email."
"passed","Sat Jul 06 20:12:29 GMT 2024","Sat Jul 06 20:13:18 GMT 2024","48166","chromium","","Forms","","","TC_08_32_01 | Verify that user can create form","Verify that user can create form"
"passed","Sat Jul 06 19:48:00 GMT 2024","Sat Jul 06 19:48:37 GMT 2024","37838","chromium","","Sign Document","","","TC_04_11_02 | Verify custom signing order between others customers","To verify custom signing order between others customers"
"passed","Sat Jul 06 19:28:48 GMT 2024","Sat Jul 06 19:29:47 GMT 2024","58417","chromium","","CreateDocument","","","TC_03_07_05 | Verify that user can sign a document themselves with Initial","Objective: Verify that user can sign a document themselves with Initial"
"passed","Sat Jul 06 19:53:04 GMT 2024","Sat Jul 06 19:54:06 GMT 2024","61427","chromium","","Sign Document","","","TC_04_12_01 | Verify that signer can decline signature","Objective: To verify that signer can decline signature"
"passed","Sat Jul 06 19:41:08 GMT 2024","Sat Jul 06 19:42:37 GMT 2024","88677","chromium","","CreateDocument","","","TC_03_08_02 | Verify that the ""Edit template"" button is active","Objective: Verify that user can edit a document from template"
"passed","Sat Jul 06 19:25:06 GMT 2024","Sat Jul 06 19:25:27 GMT 2024","21269","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"passed","Sat Jul 06 19:54:06 GMT 2024","Sat Jul 06 19:54:56 GMT 2024","50111","chromium","","Sign Document","","","TC_04_10_03 | Verify that the user who uploaded the document can send it to signer","Objective: To verify that the user who uploaded the document can send it for signer"
"passed","Sat Jul 06 20:00:17 GMT 2024","Sat Jul 06 20:01:26 GMT 2024","69311","chromium","","DocumentsType","","","TC_05_17_01 | Share document","Objective: To verify that the document can be Share."
"passed","Sat Jul 06 20:02:20 GMT 2024","Sat Jul 06 20:03:32 GMT 2024","71768","chromium","","DocumentsType","","","TC_05_19_02 | Verify that deleted documents have been moved to the trash by using checkboxes and Select_options dropdown menu and then deleted permanently","To verify the process of moving the documents to the trash by checkboxes and then deleting documents permanently."
"broken","Sat Jul 06 20:33:24 GMT 2024","Sat Jul 06 20:34:25 GMT 2024","60479","chromium","","Company","","","TC_10_43_01 | Verify that the business user can fill company's form",""
"passed","Sat Jul 06 19:54:56 GMT 2024","Sat Jul 06 19:55:38 GMT 2024","41962","chromium","","DocumentsType","","","TC_05_21_01 | Verify that button Edit&Resend is active","Objective: To verify that the document can be returned for editing."
"failed","Sat Jul 06 20:42:04 GMT 2024","Sat Jul 06 20:42:45 GMT 2024","40254","chromium","","Profile","","","TC_11_47_01 | Verify that user can delete account","Objective: To verify that the User can delete account"
"passed","Sat Jul 06 19:24:49 GMT 2024","Sat Jul 06 19:25:06 GMT 2024","17185","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user","To verify that a Free user can successfully register."
"passed","Sat Jul 06 19:44:00 GMT 2024","Sat Jul 06 19:45:27 GMT 2024","86757","chromium","","Sign Document","","","TC_04_14_01 | Verify adding users who can view the document","To verify the adding viewers / adding users who can view the document."
"broken","Sat Jul 06 20:30:19 GMT 2024","Sat Jul 06 20:31:20 GMT 2024","60317","chromium","","Team","","","TC_09_40_01 | Verify that Business User can remove ""User"" teammate from Team",""
"passed","Sat Jul 06 20:20:47 GMT 2024","Sat Jul 06 20:21:46 GMT 2024","59194","chromium","","Team","","","TC_09_38_01 | Verify that Business User can add Admin team member","Objective: Verify that Business User can add Admin team member"
"passed","Sat Jul 06 20:04:28 GMT 2024","Sat Jul 06 20:04:54 GMT 2024","25212","chromium","","Folders","","","TC_06_22_01 | Verify the business user can create folder","Objective: To verify the user can create the folder"
"failed","Sat Jul 06 20:39:28 GMT 2024","Sat Jul 06 20:40:05 GMT 2024","36952","chromium","","Profile","","","TC_11_45_01 | Verify that User can change password","Objective: To verify that the User can change a password and login with a new password"
"passed","Sat Jul 06 20:50:54 GMT 2024","Sat Jul 06 20:52:02 GMT 2024","68336","chromium","","Profile","","","TC_11_46_02 | Verify that user can change the date format to MM / DD / YY","Objective: To verify that a user can update the date format in their profile settings and the updated date format is applied when signing a document. The date format YYYY / DD / MM was not checked and included to test data because of the existed bug"
"passed","Sat Jul 06 20:09:07 GMT 2024","Sat Jul 06 20:10:40 GMT 2024","93901","chromium","","Templates","","","TC_07_28_01 | Verify that user can edit template","Objective: To verify that a user can successfully edit an existing template by changing its name, message, role, and associated document, and ensure that the changes are reflected in the user interface and confirmed by appropriate toast messages."
