"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 12 17:01:00 GMT 2024","Fri Jul 12 17:01:47 GMT 2024","47141","chromium","","Team","","","TC_09_39_02 | Verify Business user can downgrade ""Admin"" team member to ""User""","To verify Business user can downgrade ""Admin"" team member to ""User""."
"passed","Fri Jul 12 17:23:59 GMT 2024","Fri Jul 12 17:24:31 GMT 2024","31558","chromium","","Verification of supporting tests.","","","Verify document formats to download. .gif","To verify .gif document format can be downloaded"
"passed","Fri Jul 12 17:10:57 GMT 2024","Fri Jul 12 17:11:20 GMT 2024","23477","chromium","","API key","","","TC_12_49_01 | Verife user can purchase Titanium API plan.","To verify Business user can successfully purchase API plan."
"passed","Fri Jul 12 17:16:35 GMT 2024","Fri Jul 12 17:17:06 GMT 2024","30853","chromium","","Verification of supporting tests.","","","Verify document formats to download. .jpg","To verify .jpg document format can be downloaded"
"passed","Fri Jul 12 17:23:28 GMT 2024","Fri Jul 12 17:23:59 GMT 2024","31438","chromium","","Verification of supporting tests.","","","Verify document formats to download. .html","To verify .html document format can be downloaded"
"passed","Fri Jul 12 16:47:26 GMT 2024","Fri Jul 12 16:48:04 GMT 2024","38678","chromium","","Templates","","","TC_07_27_01 | Verify user can create the template","To verify user can create a new template in the system successfully. This includes ensuring that all required fields are completed correctly, the template is saved, and it is accessible for future use."
"passed","Fri Jul 12 17:13:53 GMT 2024","Fri Jul 12 17:14:10 GMT 2024","16877","chromium","","Billing","","","TC_14_56_01 | Verify user can upsell subscription Personal plan.","To verify Free user can upgrade subscription plan."
"passed","Fri Jul 12 17:20:40 GMT 2024","Fri Jul 12 17:21:11 GMT 2024","31215","chromium","","Verification of supporting tests.","","","Verify document formats to download. .docx","To verify .docx document format can be downloaded"
"passed","Fri Jul 12 16:53:47 GMT 2024","Fri Jul 12 16:54:29 GMT 2024","42027","chromium","","Forms","","","TC_08_36_01 | Verify user can disable and enable form.","To verify Business user can duplicate form."
"passed","Fri Jul 12 17:00:12 GMT 2024","Fri Jul 12 17:01:00 GMT 2024","48001","chromium","","Team","","","TC_09_39_01 | Verify Business user can upgrade a ""User"" team member to ""Admin""","To verify Business user can upgrade ""User"" team member to ""Admin"""
"passed","Fri Jul 12 17:20:08 GMT 2024","Fri Jul 12 17:20:40 GMT 2024","31716","chromium","","Verification of supporting tests.","","","Verify document formats to download. .doc","To verify .doc document format can be downloaded"
"passed","Fri Jul 12 16:19:20 GMT 2024","Fri Jul 12 16:19:41 GMT 2024","21557","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription.","To verify Personal user can successfully register."
"failed","Fri Jul 12 16:49:20 GMT 2024","Fri Jul 12 16:49:57 GMT 2024","36904","chromium","","Templates","","","TC_07_31_01 | Verify the user can select Add to API","To verify the process of adding the template to the API"
"passed","Fri Jul 12 17:11:20 GMT 2024","Fri Jul 12 17:11:57 GMT 2024","36663","chromium","","API key","","","TC_12_50_01 | Verify user can Upgrade/Downgrade API subscription.","To verify Business user can Upgrade/Downgrade API subscription."
"passed","Fri Jul 12 17:05:25 GMT 2024","Fri Jul 12 17:06:01 GMT 2024","36170","chromium","","Profile","","","TC_11_44_01 | Verify user can change email.","To verify Business user can change email."
"passed","Fri Jul 12 17:19:38 GMT 2024","Fri Jul 12 17:20:08 GMT 2024","30691","chromium","","Verification of supporting tests.","","","Verify document formats to download. .txt","To verify .txt document format can be downloaded"
"passed","Fri Jul 12 16:43:47 GMT 2024","Fri Jul 12 16:44:53 GMT 2024","65472","chromium","","Folders","","","TC_06_26_01 | Verify user can assign folder permissions to team member User.","To verify Business user can assign folder permissions to team member with role User. 

                Attention: Page reloaded due to application state not synchronized."
"passed","Fri Jul 12 17:01:47 GMT 2024","Fri Jul 12 17:02:39 GMT 2024","52151","chromium","","Team","","","TC_09_40_01 | Verify Business user can remove ""User"" teammate from Team","To verify Business user can remove ""User"" teammate from Team"
"passed","Fri Jul 12 17:10:05 GMT 2024","Fri Jul 12 17:10:29 GMT 2024","24606","chromium","","API key","","","TC_12_49_01 | Verife user can purchase Gold API plan.","To verify Business user can successfully purchase API plan."
"passed","Fri Jul 12 17:04:00 GMT 2024","Fri Jul 12 17:04:30 GMT 2024","29671","chromium","","Profile","","","TC_11_45_01 | Verify user can change password.","To verify Business user can change password and login with new password."
"passed","Fri Jul 12 16:37:45 GMT 2024","Fri Jul 12 16:38:53 GMT 2024","67546","chromium","","DocumentsType","","","TC_05_17_01 | Verify user can share a document with status ""Completed"".","To verify Business user can share a document with status ""Completed"" via email."
"passed","Fri Jul 12 17:12:20 GMT 2024","Fri Jul 12 17:12:47 GMT 2024","27584","chromium","","Settings: Edit signature","","","TC_13_53_01 | Verify user can delete signature.","To verify Business user can delete signature."
"passed","Fri Jul 12 17:16:09 GMT 2024","Fri Jul 12 17:16:22 GMT 2024","13699","chromium","","Billing","","","TC_14_55_01 | Verify ability to successfully select subscription Personal plan.","To verify Free users can successfully upgrade their subscription plan."
"passed","Fri Jul 12 17:15:19 GMT 2024","Fri Jul 12 17:15:44 GMT 2024","25900","chromium","","Billing","","","TC_14_57_01 | Verify user can upgrade subscription (from Monthly to Annually).","To verify user can successfully upgrade their subscription from monthly plan to annual plan."
"passed","Fri Jul 12 17:11:57 GMT 2024","Fri Jul 12 17:12:20 GMT 2024","22578","chromium","","Settings: Edit signature","","","TC_13_51_01 | Verify user can create Signature.","To verify Business user can create Signature."
"passed","Fri Jul 12 16:39:41 GMT 2024","Fri Jul 12 16:40:47 GMT 2024","66263","chromium","","DocumentsType","","","TC_05_19_02 | Verify user can move documents to the trash using checkboxes and ""Select_options"" dropdown menu and delete them permanently from the trash.","To verify Business user can move documents to the trash using checkboxes and ""Select_options"" dropdown menu and delete them permanently from the trash. 
 Attention: Refresh the page twice in precondition and extra wait 1 sec.
 Documents for deletion are selected randomly and may differ from those presented in the video ATC_05_19_02.webm."
"passed","Fri Jul 12 17:10:29 GMT 2024","Fri Jul 12 17:10:57 GMT 2024","27633","chromium","","API key","","","TC_12_49_01 | Verife user can purchase Platinum API plan.","To verify Business user can successfully purchase API plan."
"passed","Fri Jul 12 17:21:11 GMT 2024","Fri Jul 12 17:21:46 GMT 2024","35203","chromium","","Verification of supporting tests.","","","Verify document formats to download. .pptx","To verify .pptx document format can be downloaded"
"passed","Fri Jul 12 16:40:47 GMT 2024","Fri Jul 12 16:41:43 GMT 2024","55479","chromium","","DocumentsType","","","TC_05_20_01 | Verify user can download a document with  status ""Completed"" (API).","To verify Business user can download a document with status ""Completed"" (API)."
"passed","Fri Jul 12 16:32:26 GMT 2024","Fri Jul 12 16:33:32 GMT 2024","66216","chromium","","Sign Document","","","TC_04_12_01 | Verify signer can decline to sign the document.","To verify signer can decline to sign the document. 
 Attention: 
 - Script contains commented code due to delayed reminder. 
 - Page can be reloaded if application state not synchronized."
"passed","Fri Jul 12 17:22:56 GMT 2024","Fri Jul 12 17:23:28 GMT 2024","32172","chromium","","Verification of supporting tests.","","","Verify document formats to download. .png","To verify .png document format can be downloaded"
"passed","Fri Jul 12 16:50:57 GMT 2024","Fri Jul 12 16:51:41 GMT 2024","44398","chromium","","Templates","","","TC_07_30_01 | Verify user can duplicate template","To verify the process of duplicate template"
"passed","Fri Jul 12 17:22:21 GMT 2024","Fri Jul 12 17:22:56 GMT 2024","34987","chromium","","Verification of supporting tests.","","","Verify document formats to download. .ppt","To verify .ppt document format can be downloaded"
"passed","Fri Jul 12 17:14:27 GMT 2024","Fri Jul 12 17:15:19 GMT 2024","51638","chromium","","Billing","","","TC_14_54_01 | Verify user can attach/delete payment card.","To verify the functionality of attaching a payment card through the settings-billing section and deleting a payment card through the Billing Portal. 
 Attention: Refresh the page and extra wait 1 sec."
"passed","Fri Jul 12 17:18:38 GMT 2024","Fri Jul 12 17:19:09 GMT 2024","31285","chromium","","Verification of supporting tests.","","","Verify document formats to download. .csv","To verify .csv document format can be downloaded"
"passed","Fri Jul 12 16:49:58 GMT 2024","Fri Jul 12 16:50:57 GMT 2024","58515","chromium","","Templates","","","TC_07_28_01 | Verify user can edit template","To verify Business user can successfully edit an existing template by changing its name, message, role, and associated document, and ensure that the changes are reflected in the user interface and confirmed by appropriate toast messages."
"passed","Fri Jul 12 16:30:38 GMT 2024","Fri Jul 12 16:31:17 GMT 2024","39238","chromium","","Sign Document","","","TC_04_10_02 | Verify user and other signer can sign  document.","To verify user and other signer can sign document."
"passed","Fri Jul 12 16:53:04 GMT 2024","Fri Jul 12 16:53:47 GMT 2024","42971","chromium","","Forms","","","TC_08_35_01 | Verify user can duplicate form.","To verify Business user can duplicate form."
"passed","Fri Jul 12 16:42:33 GMT 2024","Fri Jul 12 16:43:10 GMT 2024","36572","chromium","","Folders","","","TC_06_23_01 | Verify user can rename the folder.","To verify Business user can rename folder."
"passed","Fri Jul 12 17:07:43 GMT 2024","Fri Jul 12 17:08:18 GMT 2024","35531","chromium","","Profile","","","TC_11_46_02 | Verify user can change date format to DD / MM / YY.","To verify Business user can update the date format in their profile settings and the updated date format is applied when signing a document. 
 Attention: The date format YYYY / DD / MM was not checked and included to test data because of the existed bug"
"passed","Fri Jul 12 16:57:59 GMT 2024","Fri Jul 12 16:58:49 GMT 2024","49856","chromium","","Team","","","TC_09_38_01 | Verify Business user can add User team member.","To verify Business user can add User team member."
"passed","Fri Jul 12 16:44:53 GMT 2024","Fri Jul 12 16:45:53 GMT 2024","60235","chromium","","Folders","","","TC_06_26_01 | Verify user can assign folder permissions to team member Admin.","To verify Business user can assign folder permissions to team member with role Admin. 

                Attention: Page reloaded due to application state not synchronized."
"passed","Fri Jul 12 17:17:06 GMT 2024","Fri Jul 12 17:17:34 GMT 2024","28024","chromium","","Verification of supporting tests.","","","Verify document formats to download. .jpeg","To verify .jpeg document format can be downloaded"
"passed","Fri Jul 12 17:21:46 GMT 2024","Fri Jul 12 17:22:21 GMT 2024","34242","chromium","","Verification of supporting tests.","","","Verify document formats to download. .ppsx","To verify .ppsx document format can be downloaded"
"passed","Fri Jul 12 16:20:51 GMT 2024","Fri Jul 12 16:21:53 GMT 2024","61948","chromium","","CreateDocument","","","TC_03_07_01 | Verify user can sign uploaded document.","To verify the process of creating and signing the document."
"passed","Fri Jul 12 16:35:36 GMT 2024","Fri Jul 12 16:36:15 GMT 2024","39094","chromium","","DocumentsType","","","TC_05_18_01 | Verify user can move a document to a folder.","To verify Business user can move a document to a folder."
"passed","Fri Jul 12 16:31:17 GMT 2024","Fri Jul 12 16:31:57 GMT 2024","40019","chromium","","Sign Document","","","TC_04_13_01 | Verify document expiration.","To verify updating document status to ""Expired"" in the database reflects correctly on the front-end display. 
 Attention: Refresh the page twice: 
 - if application state not synchronized 
 - after changing the status in the database."
"passed","Fri Jul 12 16:19:41 GMT 2024","Fri Jul 12 16:20:04 GMT 2024","22646","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Annually subscription.","To verify Personal user can successfully register."
"passed","Fri Jul 12 16:58:49 GMT 2024","Fri Jul 12 16:59:37 GMT 2024","48452","chromium","","Team","","","TC_09_38_01 | Verify Business user can add Admin team member.","To verify Business user can add Admin team member."
"passed","Fri Jul 12 16:42:05 GMT 2024","Fri Jul 12 16:42:33 GMT 2024","27952","chromium","","Folders","","","TC_06_24_01 | Verify the business user can delete folder","To verify Business user can delete the folder."
"passed","Fri Jul 12 17:18:06 GMT 2024","Fri Jul 12 17:18:38 GMT 2024","32173","chromium","","Verification of supporting tests.","","","Verify document formats to download. .xls","To verify .xls document format can be downloaded"
"passed","Fri Jul 12 16:27:56 GMT 2024","Fri Jul 12 16:28:24 GMT 2024","28651","chromium","","Sign Document","","","TC_04_11_01 | Verify user can choose a custom signing order","To verify user can choose a custom signing order"
"passed","Fri Jul 12 16:26:35 GMT 2024","Fri Jul 12 16:27:18 GMT 2024","43374","chromium","","CreateDocument","","","TC_03_08_02 | Verify user can edit template.","To verify user can edit template."
"passed","Fri Jul 12 16:20:48 GMT 2024","Fri Jul 12 16:20:51 GMT 2024","3077","chromium","","Authorization","","","TC_02_05_01 | Verify user can login into their account.","To verify user login process."
"passed","Fri Jul 12 17:12:47 GMT 2024","Fri Jul 12 17:13:11 GMT 2024","24148","chromium","","Settings: Edit signature","","","TC_13_52_01 | Verify user can edit signature.","To verify user can edit signature."
"passed","Fri Jul 12 16:56:45 GMT 2024","Fri Jul 12 16:57:59 GMT 2024","74022","chromium","","Forms","","","TC_08_33_01 | Verify user can edit form.","To verify Business user can edit form."
"passed","Fri Jul 12 17:14:10 GMT 2024","Fri Jul 12 17:14:27 GMT 2024","16597","chromium","","Billing","","","TC_14_56_01 | Verify user can upsell subscription Business plan.","To verify Free user can upgrade subscription plan."
"passed","Fri Jul 12 16:52:29 GMT 2024","Fri Jul 12 16:53:04 GMT 2024","35291","chromium","","Forms","","","TC_08_32_01 | Verify user can create form.","To verify Business user can create form."
"passed","Fri Jul 12 16:51:41 GMT 2024","Fri Jul 12 16:52:29 GMT 2024","47838","chromium","","Templates","","","TC_07_29_01 | Verify user can delete the template","To verify Business user can delete the template."
"passed","Fri Jul 12 17:13:11 GMT 2024","Fri Jul 12 17:13:34 GMT 2024","22997","chromium","","Billing","","","TC_14_57_02 | Verify user can downgrade subscription.","To verify user can downgrade subscription."
"passed","Fri Jul 12 16:41:43 GMT 2024","Fri Jul 12 16:42:05 GMT 2024","22277","chromium","","Folders","","","TC_06_22_01 | Verify Business user can create folder.","To verify Business user can create folder."
"passed","Fri Jul 12 17:19:09 GMT 2024","Fri Jul 12 17:19:38 GMT 2024","28376","chromium","","Verification of supporting tests.","","","Verify document formats to download. .pdf","To verify .pdf document format can be downloaded"
"passed","Fri Jul 12 16:34:49 GMT 2024","Fri Jul 12 16:35:36 GMT 2024","46601","chromium","","DocumentsType","","","TC_05_21_02 | Verify button ""Revert to Draft"" is active","To verify document can be returned for editing."
"passed","Fri Jul 12 16:24:53 GMT 2024","Fri Jul 12 16:25:49 GMT 2024","56558","chromium","","CreateDocument","","","TC_03_09_01 | Verify user can create documents via Bulk Send.","To verify user can enable document distribution via Bulk Send. 
 Attention: 
 - Refresh the page and extra wait 10 sec. 
 - extra wait 3 sec."
"passed","Fri Jul 12 17:06:32 GMT 2024","Fri Jul 12 17:07:09 GMT 2024","36911","chromium","","Profile","","","TC_11_46_02 | Verify user can change date format to DD / MM / YYYY.","To verify Business user can update the date format in their profile settings and the updated date format is applied when signing a document. 
 Attention: The date format YYYY / DD / MM was not checked and included to test data because of the existed bug"
"passed","Fri Jul 12 16:23:53 GMT 2024","Fri Jul 12 16:24:53 GMT 2024","59317","chromium","","CreateDocument","","","TC_03_07_05 | Verify user can sign document themselves with Initial.","To verify Business user can sign document themselves with Initial. 
 Attention: Refresh the page and wait 10 sec"
"passed","Fri Jul 12 17:25:03 GMT 2024","Fri Jul 12 17:25:09 GMT 2024","5909","chromium","","Verification of supporting tests.","","","Create Free User","Tests to maintain New User Creation."
"passed","Fri Jul 12 16:31:57 GMT 2024","Fri Jul 12 16:32:26 GMT 2024","28497","chromium","","Sign Document","","","TC_04_11_02 | Verify user can set custom signing order between others signers.","To verify user can set custom signing order between others signers."
"passed","Fri Jul 12 16:33:32 GMT 2024","Fri Jul 12 16:34:07 GMT 2024","35045","chromium","","Sign Document","","","TC_04_10_03 | Verify user can send document to the signer.","To verify user can send document to the signer."
"passed","Fri Jul 12 16:34:07 GMT 2024","Fri Jul 12 16:34:49 GMT 2024","42570","chromium","","DocumentsType","","","TC_05_21_01 | Verify the option ""Edit&Ressend"" is active","To verify ""Edit&Resend"" functionality correctly allows users to edit and resend a prepared document"
"passed","Fri Jul 12 16:19:02 GMT 2024","Fri Jul 12 16:19:20 GMT 2024","17057","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user.","To verify Free user can successfully register."
"passed","Fri Jul 12 17:24:31 GMT 2024","Fri Jul 12 17:25:03 GMT 2024","31948","chromium","","Verification of supporting tests.","","","Verify Email message is received","To verify Email message is received."
"passed","Fri Jul 12 16:37:00 GMT 2024","Fri Jul 12 16:37:45 GMT 2024","45587","chromium","","DocumentsType","","","TC_05_21_03 | Verify user can revert a document with ""Awaiting"" status to ""Draft"" status.","To verify Business user can revert a document with ""Awaiting"" status to ""Draft"" status."
"passed","Fri Jul 12 17:15:44 GMT 2024","Fri Jul 12 17:16:09 GMT 2024","24238","chromium","","Billing","","","TC_14_58_01 | Verify ability to successfully cancel subscription.","To verify users can cancel their subscription."
"passed","Fri Jul 12 16:45:53 GMT 2024","Fri Jul 12 16:47:26 GMT 2024","92466","chromium","","Folders","","","TC_06_26_02 | Verify user can assign folder permissions to multiple team members.","To verify Business user can assign folder permissions to multiple team members. 
 Attention: 
 - Refresh the page and extra wait 1 sec."
"passed","Fri Jul 12 16:27:18 GMT 2024","Fri Jul 12 16:27:56 GMT 2024","37601","chromium","","CreateDocument","","","TC_03_08_01 | Verify user can send the template for signature.","To verify user can send the template for signature."
"passed","Fri Jul 12 16:25:49 GMT 2024","Fri Jul 12 16:26:35 GMT 2024","45522","chromium","","CreateDocument","","","TC_03_07_04 | Verify user can sign the document with existed signature.","To verify the process of creating and signing a document with an existing signature."
