"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 12 23:50:09 GMT 2024","Fri Jul 12 23:50:46 GMT 2024","37236","chromium","","Sign Document","","","TC_04_10_03 | Verify user can send document to the signer.","To verify user can send document to the signer."
"passed","Sat Jul 13 00:00:04 GMT 2024","Sat Jul 13 00:01:02 GMT 2024","58849","chromium","","Folders","","","TC_06_25_01 | Verify user can move folder to folder.","To verify Business user can move folder to folder."
"passed","Fri Jul 12 23:47:04 GMT 2024","Fri Jul 12 23:47:44 GMT 2024","40375","chromium","","Sign Document","","","TC_04_10_02 | Verify user and other signer can sign  document.","To verify user and other signer can sign document."
"passed","Fri Jul 12 23:36:54 GMT 2024","Fri Jul 12 23:37:36 GMT 2024","41856","chromium","","CreateDocument","","","TC_03_07_06 | Verify user can create, sign, and send document to another signer.","To verify the process of creating, signing and sending the document to another signer."
"passed","Fri Jul 12 23:35:50 GMT 2024","Fri Jul 12 23:35:54 GMT 2024","3444","chromium","","Authorization","","","TC_02_05_01 | Verify user can login into their account.","To verify user login process."
"failed","Sat Jul 13 00:06:42 GMT 2024","Sat Jul 13 00:07:15 GMT 2024","32973","chromium","","Templates","","","TC_07_31_01 | Verify the user can select Add to API","To verify the process of adding the template to the API"
"passed","Fri Jul 12 23:39:01 GMT 2024","Fri Jul 12 23:40:01 GMT 2024","60011","chromium","","CreateDocument","","","TC_03_07_05 | Verify user can sign document themselves with Initial.","To verify Business user can sign document themselves with Initial. 
 Attention: Refresh the page and wait 10 sec"
"passed","Fri Jul 12 23:58:59 GMT 2024","Fri Jul 12 23:59:27 GMT 2024","28272","chromium","","Folders","","","TC_06_24_01 | Verify the business user can delete folder","To verify Business user can delete the folder."
"passed","Fri Jul 12 23:46:11 GMT 2024","Fri Jul 12 23:47:04 GMT 2024","53019","chromium","","Sign Document","","","TC_04_10_01 | Verify user can sign a document.","To verify user can sign document as themselves."
"passed","Fri Jul 12 23:53:05 GMT 2024","Fri Jul 12 23:53:51 GMT 2024","45726","chromium","","DocumentsType","","","TC_05_16_01 | Verify user can send a reminder to sign the document.","To verify Business user can send a reminder to sign the document."
"passed","Fri Jul 12 23:52:23 GMT 2024","Fri Jul 12 23:53:05 GMT 2024","41668","chromium","","DocumentsType","","","TC_05_18_01 | Verify user can move a document to a folder.","To verify Business user can move a document to a folder."
"passed","Fri Jul 12 23:35:08 GMT 2024","Fri Jul 12 23:35:29 GMT 2024","21033","chromium","","Registration","","","TC_01_59_01| Verify successful registration of Business User with Monthly subscription","To verify Business user can successfully register"
"passed","Fri Jul 12 23:33:28 GMT 2024","Fri Jul 12 23:34:08 GMT 2024","40039","chromium","","Registration","","","TC_01_01_01 | Verify successful registration of Trial user.","To verify Trial user can successfully register."
"passed","Fri Jul 12 23:42:02 GMT 2024","Fri Jul 12 23:42:50 GMT 2024","48309","chromium","","CreateDocument","","","TC_03_07_04 | Verify user can sign the document with existed signature.","To verify the process of creating and signing a document with an existing signature."
"passed","Sat Jul 13 00:03:12 GMT 2024","Sat Jul 13 00:04:48 GMT 2024","96107","chromium","","Folders","","","TC_06_26_02 | Verify user can assign folder permissions to multiple team members.","To verify Business user can assign folder permissions to multiple team members. 
 Attention: 
 - Refresh the page and extra wait 1 sec."
"passed","Fri Jul 12 23:53:51 GMT 2024","Fri Jul 12 23:54:39 GMT 2024","48115","chromium","","DocumentsType","","","TC_05_21_03 | Verify user can revert a document with ""Awaiting"" status to ""Draft"" status.","To verify Business user can revert a document with ""Awaiting"" status to ""Draft"" status."
"passed","Fri Jul 12 23:35:54 GMT 2024","Fri Jul 12 23:36:54 GMT 2024","59904","chromium","","CreateDocument","","","TC_03_07_01 | Verify user can sign uploaded document.","To verify the process of creating and signing the document."
"passed","Fri Jul 12 23:59:27 GMT 2024","Sat Jul 13 00:00:04 GMT 2024","36120","chromium","","Folders","","","TC_06_23_01 | Verify user can rename the folder.","To verify Business user can rename folder."
"passed","Sat Jul 13 00:09:58 GMT 2024","Sat Jul 13 00:10:30 GMT 2024","32252","chromium","","Forms","","","TC_08_32_01 | Verify user can create form.","To verify Business user can create form."
"passed","Fri Jul 12 23:56:34 GMT 2024","Fri Jul 12 23:57:42 GMT 2024","67747","chromium","","DocumentsType","","","TC_05_19_02 | Verify user can move documents to the trash using checkboxes and ""Select_options"" dropdown menu and delete them permanently from the trash.","To verify Business user can move documents to the trash using checkboxes and ""Select_options"" dropdown menu and delete them permanently from the trash. 
 Attention: Refresh the page twice in precondition and extra wait 1 sec.
 Documents for deletion are selected randomly and may differ from those presented in the video ATC_05_19_02.webm."
"passed","Fri Jul 12 23:48:28 GMT 2024","Fri Jul 12 23:49:00 GMT 2024","32322","chromium","","Sign Document","","","TC_04_11_02 | Verify user can set custom signing order between others signers.","To verify user can set custom signing order between others signers."
"passed","Fri Jul 12 23:58:38 GMT 2024","Fri Jul 12 23:58:59 GMT 2024","20817","chromium","","Folders","","","TC_06_22_01 | Verify Business user can create folder.","To verify Business user can create folder."
"passed","Fri Jul 12 23:54:39 GMT 2024","Fri Jul 12 23:55:48 GMT 2024","69191","chromium","","DocumentsType","","","TC_05_17_01 | Verify user can share a document with status ""Completed"".","To verify Business user can share a document with status ""Completed"" via email."
"passed","Fri Jul 12 23:43:35 GMT 2024","Fri Jul 12 23:44:15 GMT 2024","40576","chromium","","CreateDocument","","","TC_03_08_01 | Verify user can send the template for signature.","To verify user can send the template for signature."
"passed","Fri Jul 12 23:51:32 GMT 2024","Fri Jul 12 23:52:23 GMT 2024","51493","chromium","","DocumentsType","","","TC_05_21_02 | Verify button ""Revert to Draft"" is active","To verify document can be returned for editing."
"passed","Fri Jul 12 23:47:44 GMT 2024","Fri Jul 12 23:48:28 GMT 2024","43246","chromium","","Sign Document","","","TC_04_13_01 | Verify document expiration.","To verify updating document status to ""Expired"" in the database reflects correctly on the front-end display. 
 Attention: Refresh the page twice: 
 - if application state not synchronized 
 - after changing the status in the database."
"passed","Sat Jul 13 00:04:48 GMT 2024","Sat Jul 13 00:05:25 GMT 2024","36575","chromium","","Templates","","","TC_07_27_01 | Verify user can create the template","To verify user can create a new template in the system successfully. This includes ensuring that all required fields are completed correctly, the template is saved, and it is accessible for future use."
"passed","Sat Jul 13 00:02:08 GMT 2024","Sat Jul 13 00:03:12 GMT 2024","63692","chromium","","Folders","","","TC_06_26_01 | Verify user can assign folder permissions to team member Admin.","To verify Business user can assign folder permissions to team member with role Admin. 

                Attention: Page reloaded due to application state not synchronized."
"passed","Fri Jul 12 23:37:36 GMT 2024","Fri Jul 12 23:38:20 GMT 2024","44892","chromium","","CreateDocument","","","TC_03_07_03 | Verify user can create document and send it for signature.","To verify the process of creating and sending a document for signature."
"passed","Fri Jul 12 23:49:00 GMT 2024","Fri Jul 12 23:50:09 GMT 2024","69207","chromium","","Sign Document","","","TC_04_12_01 | Verify signer can decline to sign the document.","To verify signer can decline to sign the document. 
 Attention: 
 - Script contains commented code due to delayed reminder. 
 - Page can be reloaded if application state not synchronized."
