"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 27 17:57:08 GMT 2024","Thu Jun 27 17:58:08 GMT 2024","59909","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself","Objective: To verify sign document as myself"
"passed","Thu Jun 27 17:55:27 GMT 2024","Thu Jun 27 17:55:59 GMT 2024","31695","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Annually subscription","To verify that a Personal user can successfully register."
"passed","Thu Jun 27 17:58:26 GMT 2024","Thu Jun 27 17:59:17 GMT 2024","50554","chromium","","DocumentsType","","","TC_05_16_01 | Verify that the user receives an email reminder to sign the document",""
"passed","Thu Jun 27 17:58:08 GMT 2024","Thu Jun 27 17:58:54 GMT 2024","46260","chromium","","DocumentsType","","","TC_05_18_01 | Verify moving a document to a folder","To verify the process of moving a document into a folder."
"passed","Thu Jun 27 17:55:28 GMT 2024","Thu Jun 27 17:55:55 GMT 2024","27483","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user","To verify that a Free user can successfully register."
"passed","Thu Jun 27 18:01:09 GMT 2024","Thu Jun 27 18:02:03 GMT 2024","54145","chromium","","Billing","","","TC_14_54_01 | Attach/delete payment card","Objective: To verify the functionality of attaching a payment card through the settings-billing section and deleting a payment card through the Billing Portal."
"passed","Thu Jun 27 18:01:18 GMT 2024","Thu Jun 27 18:01:26 GMT 2024","7633","chromium","","Out of scope. Tests to maintain New User Creation.","","","Create Free User",""
"skipped","Thu Jun 27 17:58:54 GMT 2024","Thu Jun 27 17:58:54 GMT 2024","1","chromium","","Folders","","","TC_06_24_01 | Verify the business user can delete folder",""
"passed","Thu Jun 27 17:55:59 GMT 2024","Thu Jun 27 17:57:01 GMT 2024","62321","chromium","","CreateDocument","","","TC_03_07_02 | Verify that the user who uploaded the document and Other Signer can sign it",""
"passed","Thu Jun 27 17:58:54 GMT 2024","Thu Jun 27 17:59:39 GMT 2024","44861","chromium","","Templates","","","TC_07_27_01 | Verify that user can create a template","Objective: To verify that the user can create a new template in the system successfully. This includes ensuring that all required fields are completed correctly, the template is saved, and it is accessible for future use."
"skipped","Thu Jun 27 17:58:54 GMT 2024","Thu Jun 27 17:58:54 GMT 2024","1","chromium","","Folders","","","TC_06_22_01 | Verify the business user can create folder",""
"passed","Thu Jun 27 17:55:59 GMT 2024","Thu Jun 27 17:57:04 GMT 2024","64595","chromium","","CreateDocument","","","TC_03_07_01 | Sign a document - verify that user can sign a document themselves",""
"passed","Thu Jun 27 17:59:39 GMT 2024","Thu Jun 27 18:00:16 GMT 2024","37029","chromium","","Profile","","","TC_11_45_01 | Verify that User can change password","Objective: To verify that the User can change a password and login with a new password"
"passed","Thu Jun 27 18:00:38 GMT 2024","Thu Jun 27 18:01:18 GMT 2024","40321","chromium","","Profile","","","TC_11_44_01 | Verify User can change email","Objective: To verify that the User can change a email."
"passed","Thu Jun 27 17:57:04 GMT 2024","Thu Jun 27 17:58:26 GMT 2024","82452","chromium","","Sign Document","","","TC_04_14_01 | Verify adding users who can view the document","To verify the adding viewers / adding users who can view the document."
"passed","Thu Jun 27 17:59:17 GMT 2024","Thu Jun 27 17:59:56 GMT 2024","39104","chromium","","Forms","","","TC_08_32_01 | Verify that user can create form","Verify that user can create form"
"passed","Thu Jun 27 17:58:04 GMT 2024","Thu Jun 27 17:58:54 GMT 2024","49682","chromium","","DocumentsType","","","TC_05_21_02 | Verify that button ""Revert to Draft"" is active","Objective: To verify that the document can be returned for editing."
"skipped","Thu Jun 27 17:58:54 GMT 2024","Thu Jun 27 17:58:54 GMT 2024","0","chromium","","Folders","","","TC_06_23_01 | Rename folder",""
"passed","Thu Jun 27 18:00:16 GMT 2024","Thu Jun 27 18:00:41 GMT 2024","25406","chromium","","Create API key","","","TC_12_48_01_02 | Verify User can copy API key created by the ""Create API"" button in Table.",""
"passed","Thu Jun 27 18:00:12 GMT 2024","Thu Jun 27 18:00:56 GMT 2024","44377","chromium","","Forms","","","TC_08_35_01 | Verify that user can duplicate form","Verify that user can duplicate form"
"passed","Thu Jun 27 18:00:56 GMT 2024","Thu Jun 27 18:01:18 GMT 2024","22021","chromium","","Billing > Upsell plan","","","TC_14_56_01 | Verify successful upsell of users subscription Business plan",""
"passed","Thu Jun 27 17:57:37 GMT 2024","Thu Jun 27 17:58:28 GMT 2024","51093","chromium","","DocumentsType","","","TC_05_21_01 | Verify that button Edit&Resend is active","Objective: To verify that the document can be returned for editing."
"passed","Thu Jun 27 17:56:04 GMT 2024","Thu Jun 27 17:57:08 GMT 2024","63776","chromium","","CreateDocument","","","TC_03_07_05 | Verify that user can sign a document themselves with Initial",""
"passed","Thu Jun 27 17:55:55 GMT 2024","Thu Jun 27 17:56:04 GMT 2024","9312","chromium","","Authorization","","","TC_02_05_01 | Verify successful login and the user directed to the sign page","Objective: To verify the process of logging a user into their account."
"passed","Thu Jun 27 17:55:28 GMT 2024","Thu Jun 27 17:55:59 GMT 2024","31516","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"passed","Thu Jun 27 18:01:18 GMT 2024","Thu Jun 27 18:01:41 GMT 2024","22076","chromium","","Out of scope. Tests to maintain New User Creation.","","","Create Business User",""
"passed","Thu Jun 27 18:00:27 GMT 2024","Thu Jun 27 18:00:54 GMT 2024","27228","chromium","","Settings: Edit signature","","","TC_13_51_01 | Verify that user can create Signature.",""
"passed","Thu Jun 27 17:58:28 GMT 2024","Thu Jun 27 17:59:21 GMT 2024","53141","chromium","","DocumentsType","","","TC_05_21_03 | Verify that document_status is  Draft","Objective: To verify that the document can be returned for editing."
"passed","Thu Jun 27 18:01:18 GMT 2024","Thu Jun 27 18:01:50 GMT 2024","31905","chromium","","","","","Verify that Email message received",""
"passed","Thu Jun 27 17:55:59 GMT 2024","Thu Jun 27 17:58:04 GMT 2024","124884","chromium","","CreateDocument","","","TC_03_07_06 | Verify user can create, sign, and send a document to another signer","Objective: To verify the process of creating, signing, and sending a document to another signer."
"passed","Thu Jun 27 17:57:02 GMT 2024","Thu Jun 27 17:57:37 GMT 2024","35688","chromium","","Sign Document","","","TC_04_11_02 | Verify custom signing order",""
"passed","Thu Jun 27 18:00:41 GMT 2024","Thu Jun 27 18:01:09 GMT 2024","27907","chromium","","Billing","","","TC_14_57_02 | Verify the ability to successfully downgrade subscription",""
"passed","Thu Jun 27 17:59:56 GMT 2024","Thu Jun 27 18:00:27 GMT 2024","31171","chromium","","Create API key","","","TC_12_48_01_01 | Verify User can copy API key created by the ""Create API"" button on the right.",""
"passed","Thu Jun 27 17:58:54 GMT 2024","Thu Jun 27 17:59:47 GMT 2024","53017","chromium","","Templates","","","TC_07_31_01 | Verify that  the user can select Add to API","Objective: To verify the process of add template to API."
"passed","Thu Jun 27 17:55:27 GMT 2024","Thu Jun 27 17:55:59 GMT 2024","31603","chromium","","Registration","","","TC_01_01_01 | Verify successful registration of Trial user","To verify that a Trial user can successfully register."
"passed","Thu Jun 27 18:00:54 GMT 2024","Thu Jun 27 18:01:18 GMT 2024","24265","chromium","","Billing > Upsell plan","","","TC_14_56_01 | Verify successful upsell of users subscription Personal plan",""
