"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jun 28 07:00:31 GMT 2024","Fri Jun 28 07:00:31 GMT 2024","1","chromium","","Folders","","","TC_06_22_01 | Verify the business user can create folder",""
"passed","Fri Jun 28 07:01:55 GMT 2024","Fri Jun 28 07:02:18 GMT 2024","23646","chromium","","API key","","","TC_12_48_01 | Copy API key created by the ""Create API"" button on the right.","To verify that user can copy API key created by the ""Create API"" button on the right."
"passed","Fri Jun 28 07:01:35 GMT 2024","Fri Jun 28 07:02:12 GMT 2024","36797","chromium","","Profile","","","TC_11_44_01 | Verify User can change email","Objective: To verify that the User can change a email."
"passed","Fri Jun 28 07:02:38 GMT 2024","Fri Jun 28 07:03:02 GMT 2024","24587","chromium","","Settings: Edit signature","","","TC_13_51_01 | Verify that user can create Signature.",""
"passed","Fri Jun 28 07:00:24 GMT 2024","Fri Jun 28 07:01:22 GMT 2024","57549","chromium","","DocumentsType","","","TC_05_21_03 | Verify that document_status is  Draft","Objective: To verify that the document can be returned for editing."
"passed","Fri Jun 28 07:03:26 GMT 2024","Fri Jun 28 07:03:47 GMT 2024","21007","chromium","","Out of scope. Tests to maintain New User Creation.","","","Create Business User",""
"passed","Fri Jun 28 07:01:59 GMT 2024","Fri Jun 28 07:02:21 GMT 2024","22113","chromium","","API key","","","TC_12_48_01_02 | Verify User can copy API key created by the ""Create API"" button in Table.",""
"passed","Fri Jun 28 06:57:09 GMT 2024","Fri Jun 28 06:57:39 GMT 2024","29495","chromium","","Sign Document","","","TC_04_11_02 | Verify custom signing order",""
"passed","Fri Jun 28 07:05:01 GMT 2024","Fri Jun 28 07:06:42 GMT 2024","101531","chromium","","Templates","","","TC_07_31_01 | Verify that  the user can select Add to API","Objective: To verify the process of add template to API."
"passed","Fri Jun 28 06:55:33 GMT 2024","Fri Jun 28 06:56:03 GMT 2024","30099","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Annually subscription","To verify that a Personal user can successfully register."
"passed","Fri Jun 28 07:01:22 GMT 2024","Fri Jun 28 07:01:55 GMT 2024","32831","chromium","","Profile","","","TC_11_45_01 | Verify that User can change password","Objective: To verify that the User can change a password and login with a new password"
"passed","Fri Jun 28 07:02:45 GMT 2024","Fri Jun 28 07:03:11 GMT 2024","26047","chromium","","Billing","","","TC_14_57_02 | Verify the ability to successfully downgrade subscription",""
"passed","Fri Jun 28 06:58:22 GMT 2024","Fri Jun 28 06:59:09 GMT 2024","47295","chromium","","DocumentsType","","","TC_05_21_01 | Verify that button Edit&Resend is active","Objective: To verify that the document can be returned for editing."
"passed","Fri Jun 28 06:55:33 GMT 2024","Fri Jun 28 06:56:03 GMT 2024","30161","chromium","","Registration","","","TC_01_01_01 | Verify successful registration of Trial user","To verify that a Trial user can successfully register."
"passed","Fri Jun 28 06:58:21 GMT 2024","Fri Jun 28 06:59:21 GMT 2024","60081","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself","Objective: To verify sign document as myself"
"passed","Fri Jun 28 07:03:20 GMT 2024","Fri Jun 28 07:03:26 GMT 2024","5758","chromium","","Out of scope. Tests to maintain New User Creation.","","","Create Free User",""
"passed","Fri Jun 28 06:59:21 GMT 2024","Fri Jun 28 07:00:33 GMT 2024","72183","chromium","","DocumentsType","","","TC_05_18_01 | Verify moving a document to a folder","To verify the process of moving a document into a folder."
"skipped","Fri Jun 28 07:00:31 GMT 2024","Fri Jun 28 07:00:31 GMT 2024","0","chromium","","Folders","","","TC_06_24_01 | Verify the business user can delete folder",""
