"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 13:19:15 GMT 2024","Fri Jul 05 13:19:47 GMT 2024","31703","chromium","","Sign Document","","","TC_04_11_02 | Verify custom signing order between others customers","To verify custom signing order between others customers"
"passed","Fri Jul 05 13:07:46 GMT 2024","Fri Jul 05 13:08:07 GMT 2024","21105","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"passed","Fri Jul 05 13:23:53 GMT 2024","Fri Jul 05 13:24:41 GMT 2024","48242","chromium","","DocumentsType","","","TC_05_21_03 | Verify that document_status is  Draft","Objective: To verify that the document can be returned for editing."
"passed","Fri Jul 05 13:27:50 GMT 2024","Fri Jul 05 13:28:18 GMT 2024","28533","chromium","","Folders","","","TC_06_24_01 | Verify the business user can delete folder","Objective: To verify the user can delete the folder"
"passed","Fri Jul 05 13:12:28 GMT 2024","Fri Jul 05 13:13:15 GMT 2024","47307","chromium","","CreateDocument","","","TC_03_07_05 | Verify that user can sign a document themselves with Initial","Objective: Verify that user can sign a document themselves with Initial"
"passed","Fri Jul 05 13:14:52 GMT 2024","Fri Jul 05 13:15:24 GMT 2024","31237","chromium","","Sign Document","","","TC_04_11_01 | Verify custom signing order","To verify custom signing order"
"passed","Fri Jul 05 13:08:28 GMT 2024","Fri Jul 05 13:08:31 GMT 2024","3028","chromium","","Authorization","","","TC_02_05_01 | Verify successful login and the user directed to the sign page","Objective: To verify the process of logging a user into their account."
"passed","Fri Jul 05 13:16:48 GMT 2024","Fri Jul 05 13:17:50 GMT 2024","61173","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself","Objective: To verify sign document as myself"
"passed","Fri Jul 05 13:23:07 GMT 2024","Fri Jul 05 13:23:53 GMT 2024","46088","chromium","","DocumentsType","","","TC_05_16_01 | Verify the user receives an email reminder to sign the document","Objective: To verify that the user can send a reminder through the user interface."
"passed","Fri Jul 05 13:07:29 GMT 2024","Fri Jul 05 13:07:46 GMT 2024","16691","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user","To verify that a Free user can successfully register."
