"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 04 17:22:43 GMT 2024","Thu Jul 04 17:23:09 GMT 2024","25993","chromium","","Folders","","","TC_06_24_01 | Verify the business user can delete folder","Objective: To verify the user can delete the folder"
"passed","Thu Jul 04 17:04:04 GMT 2024","Thu Jul 04 17:04:24 GMT 2024","20303","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"passed","Thu Jul 04 17:59:22 GMT 2024","Thu Jul 04 17:59:49 GMT 2024","27059","chromium","","API key","","","TC_12_49_01 | Purchase Titanium API plan","Objective: Verify that the user can successfully purchase an API plan"
"passed","Thu Jul 04 17:18:23 GMT 2024","Thu Jul 04 17:19:05 GMT 2024","42599","chromium","","DocumentsType","","","TC_05_16_01 | Verify the user receives an email reminder to sign the document","Objective: To verify that the user can send a reminder through the user interface."
"passed","Thu Jul 04 17:06:19 GMT 2024","Thu Jul 04 17:07:04 GMT 2024","45360","chromium","","CreateDocument","","","TC_03_07_03 | Verify user can create document and send it for signature","Objective: To verify the process of creating and sending a document for signature."
"passed","Thu Jul 04 17:08:18 GMT 2024","Thu Jul 04 17:09:01 GMT 2024","42353","chromium","","CreateDocument","","","TC_03_07_04 | Verify that user can sign a document themselves with existed signature","Objective: To verify the process of creating and signing a document with an existing signature"
"passed","Thu Jul 04 17:09:51 GMT 2024","Thu Jul 04 17:10:30 GMT 2024","38584","chromium","","Sign Document","","","TC_04_11_01 | Verify custom signing order","To verify custom signing order"
"passed","Thu Jul 04 17:46:46 GMT 2024","Thu Jul 04 17:47:18 GMT 2024","32558","chromium","","Forms","","","TC_08_32_01 | Verify that user can create form","Verify that user can create form"
"passed","Thu Jul 04 17:58:59 GMT 2024","Thu Jul 04 17:59:22 GMT 2024","22771","chromium","","API key","","","TC_12_49_01 | Purchase Platinum API plan","Objective: Verify that the user can successfully purchase an API plan"
"passed","Thu Jul 04 17:49:27 GMT 2024","Thu Jul 04 17:50:35 GMT 2024","68156","chromium","","Forms","","","TC_08_33_01 | Verify that user can edit form",""
"passed","Thu Jul 04 17:11:47 GMT 2024","Thu Jul 04 17:12:36 GMT 2024","49010","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself","Objective: To verify sign document as myself"
