"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 07 21:45:39 GMT 2024","Sun Jul 07 21:46:03 GMT 2024","23668","chromium","","Folders","","","TC_06_22_01 | Verify the business user can create folder","Objective: To verify the user can create the folder"
"passed","Sun Jul 07 21:43:40 GMT 2024","Sun Jul 07 21:44:44 GMT 2024","63517","chromium","","DocumentsType","","","TC_05_19_02 | Verify that deleted documents have been moved to the trash by using checkboxes and Select_options dropdown menu and then deleted permanently","Objective: To verify the process of moving the documents to the trash by checkboxes and then deleting documents permanently."
"passed","Sun Jul 07 21:22:42 GMT 2024","Sun Jul 07 21:23:06 GMT 2024","23409","chromium","","Registration","","","TC_01_01_01 | Verify successful registration of Trial user","To verify that a Trial user can successfully register."
"passed","Sun Jul 07 21:41:42 GMT 2024","Sun Jul 07 21:42:52 GMT 2024","70202","chromium","","DocumentsType","","","TC_05_17_01 | Share document","Objective: To verify that the document can be Share."
"passed","Sun Jul 07 21:42:52 GMT 2024","Sun Jul 07 21:43:40 GMT 2024","47701","chromium","","DocumentsType","","","TC_05_19_01 | Verify that deleted document has been moved to the trash by using ACTIONS_options dropdown menu and then deleted permanently","Objective: To verify the process of moving the document to the trash and then deleting document permanently."
"passed","Sun Jul 07 21:46:03 GMT 2024","Sun Jul 07 21:46:32 GMT 2024","28816","chromium","","Folders","","","TC_06_24_01 | Verify the business user can delete folder","Objective: To verify the user can delete the folder"
"passed","Sun Jul 07 21:23:44 GMT 2024","Sun Jul 07 21:24:05 GMT 2024","21100","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Annually subscription","To verify that a Personal user can successfully register."
"passed","Sun Jul 07 21:24:50 GMT 2024","Sun Jul 07 21:25:50 GMT 2024","59609","chromium","","CreateDocument","","","TC_03_07_01 | Sign a document - verify that user can sign a document themselves","Objective: To verify the process of creating and signing a document"
"passed","Sun Jul 07 21:30:41 GMT 2024","Sun Jul 07 21:31:26 GMT 2024","44835","chromium","","CreateDocument","","","TC_03_08_02 | Verify that the ""Edit template"" button is active","Objective: Verify that user can edit a document from template"
"passed","Sun Jul 07 21:46:32 GMT 2024","Sun Jul 07 21:47:08 GMT 2024","36464","chromium","","Folders","","","TC_06_23_01 | Rename folder","Objective: Testing Folder Renaming Functionality."
"passed","Sun Jul 07 21:51:20 GMT 2024","Sun Jul 07 21:51:58 GMT 2024","38491","chromium","","Templates","","","TC_07_27_01 | Verify that user can create a template","Objective: To verify that the user can create a new template in the system successfully. This includes ensuring that all required fields are completed correctly, the template is saved, and it is accessible for future use."
"passed","Sun Jul 07 21:38:47 GMT 2024","Sun Jul 07 21:39:33 GMT 2024","46817","chromium","","DocumentsType","","","TC_05_21_02 | Verify that button ""Revert to Draft"" is active","Objective: To verify that the document can be returned for editing."
"passed","Sun Jul 07 21:24:05 GMT 2024","Sun Jul 07 21:24:26 GMT 2024","21037","chromium","","Registration","","","TC_01_59_01|Verify successful registration of Business User with Monthly subscription","To verify that a Business user can successfully register."
"passed","Sun Jul 07 21:39:33 GMT 2024","Sun Jul 07 21:40:13 GMT 2024","39610","chromium","","DocumentsType","","","TC_05_18_01 | Verify moving a document to a folder","To verify the process of moving a document into a folder."
