"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Documents (typed)","","","0","0","16","0","0"
"Templates","","","0","0","9","0","0"
"Sign a document","","","0","0","6","0","0"
"Setting","Billing","","2","0","14","0","0"
"Folders","","","0","0","6","0","0"
"Setting","API","","0","0","8","0","0"
"Profile","","","0","0","14","0","0"
"Forms","","","0","0","10","0","0"
"Team","","","0","0","10","0","0"
"Authorization","","","0","0","2","0","0"
"Sign document","","","0","0","10","0","0"
"Registration","","","0","0","8","0","0"
"","","","0","1","6","0","0"
"Create Document","","","0","0","14","0","0"
"Share document","","","0","0","2","0","0"
"Settings: Edit signature","","","0","0","2","0","0"
"Settings: Company","","","0","0","2","0","0"
"API","","","0","0","4","0","0"
"Settings","","","0","0","4","0","0"
"Settings: Company with checkboxes","","","0","0","2","0","0"
"Folder","","","0","0","2","0","0"
