"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 11 17:15:17 GMT 2024","Thu Jul 11 17:15:50 GMT 2024","32126","chromium","","Out of scope. Verify document formats to download.","","","Verify document formats to download .xls",""
"passed","Thu Jul 11 17:03:24 GMT 2024","Thu Jul 11 17:03:56 GMT 2024","32423","chromium","","Profile","","","TC_11_44_01 | Verify user can change email","To verify Business user can change email."
"passed","Thu Jul 11 17:07:12 GMT 2024","Thu Jul 11 17:07:31 GMT 2024","19367","chromium","","API key","","","TC_12_48_01 | Verify user can copy API key created by the ""Create API"" button on the right","To verify user can copy API key created by the ""Create API"" button on the right"
"passed","Thu Jul 11 17:02:36 GMT 2024","Thu Jul 11 17:03:03 GMT 2024","27378","chromium","","Profile","","","TC_11_45_01 | Verify user can change password","To verify Business User can change a password and login with a new password"
"passed","Thu Jul 11 17:15:50 GMT 2024","Thu Jul 11 17:16:20 GMT 2024","30625","chromium","","Out of scope. Verify document formats to download.","","","Verify document formats to download .csv",""
"passed","Thu Jul 11 17:11:24 GMT 2024","Thu Jul 11 17:11:42 GMT 2024","17278","chromium","","Billing","","","TC_14_56_01 | Verify successful upsell of users subscription Personal plan","To verify Free user can successfully upgrade subscription plan.
"
"passed","Thu Jul 11 17:03:56 GMT 2024","Thu Jul 11 17:04:32 GMT 2024","35880","chromium","","Profile","","","TC_11_46_03 | Verify user can enabling, disabling checkboxes","To verify Business user can enabling, disabling checkboxes"
"passed","Thu Jul 11 17:13:52 GMT 2024","Thu Jul 11 17:14:18 GMT 2024","25965","chromium","","Out of scope. Verify document formats to download.","","","Verify document formats to download .jpg",""
"passed","Thu Jul 11 16:34:55 GMT 2024","Thu Jul 11 16:35:35 GMT 2024","40203","chromium","","DocumentsType","","","TC_05_18_01 | Verify user can move a document to a folder","To verify the business user can move a document to a folder"
"passed","Thu Jul 11 17:08:16 GMT 2024","Thu Jul 11 17:08:40 GMT 2024","24480","chromium","","API key","","","TC_12_49_01 | Verife user can purchase Platinum API plan","To verify Business user can successfully purchase an API plan"
"passed","Thu Jul 11 16:35:35 GMT 2024","Thu Jul 11 16:36:22 GMT 2024","47341","chromium","","DocumentsType","","","TC_05_16_01 | Verify user can send a reminder to sign the document","To verify business user can send a reminder to sign the document."
"passed","Thu Jul 11 17:22:32 GMT 2024","Thu Jul 11 17:22:50 GMT 2024","18036","chromium","","Out of scope. Tests to maintain New User Creation.","","","Create Business User",""
"passed","Thu Jul 11 17:09:06 GMT 2024","Thu Jul 11 17:09:45 GMT 2024","39058","chromium","","API key","","","TC_12_50_01 | Verify user can Upgrade/Downgrade API subscription","To verify Business user can Upgrade/Downgrade API subscription"
"passed","Thu Jul 11 16:54:33 GMT 2024","Thu Jul 11 16:55:21 GMT 2024","48440","chromium","","Forms","","","TC_08_34_01 | Verify user can delete form","To verify Business user can delete form"
"passed","Thu Jul 11 16:43:31 GMT 2024","Thu Jul 11 16:43:54 GMT 2024","23020","chromium","","Folders","","","TC_06_22_01 | Verify the business user can create folder","To verify the Business user can create the folder"
"passed","Thu Jul 11 16:43:54 GMT 2024","Thu Jul 11 16:44:20 GMT 2024","26350","chromium","","Folders","","","TC_06_24_01 | Verify the business user can delete folder","To verify the Business user can delete the folder"
"passed","Thu Jul 11 16:29:07 GMT 2024","Thu Jul 11 16:29:58 GMT 2024","51548","chromium","","Sign Document","","","TC_04_10_01 | Verify user can sign a document as themselves","To verify user can sign a document as themselves"
"passed","Thu Jul 11 16:31:18 GMT 2024","Thu Jul 11 16:31:48 GMT 2024","30047","chromium","","Sign Document","","","TC_04_11_02 | Verify user can set custom signing order between others signers","To verify user can set custom signing order between others signers"
"passed","Thu Jul 11 17:13:40 GMT 2024","Thu Jul 11 17:13:52 GMT 2024","11404","chromium","","Billing","","","TC_14_55_01 | Verify the ability to successfully select a subscription Business plan","To verify Free users can successfully upgrade their subscription plan."
"passed","Thu Jul 11 16:44:20 GMT 2024","Thu Jul 11 16:44:55 GMT 2024","35012","chromium","","Folders","","","TC_06_23_01 | Verify user can rename the folder","To verify the Business user can rename the folder"
"passed","Thu Jul 11 16:50:09 GMT 2024","Thu Jul 11 16:51:14 GMT 2024","64528","chromium","","Templates","","","TC_07_28_01 | Verify user can edit template","To verify Business user can successfully edit an existing template by changing its name, message, role, and associated document, and ensure that the changes are reflected in the user interface and confirmed by appropriate toast messages."
"passed","Thu Jul 11 17:14:46 GMT 2024","Thu Jul 11 17:15:17 GMT 2024","31803","chromium","","Out of scope. Verify document formats to download.","","","Verify document formats to download .xlsx",""
"passed","Thu Jul 11 17:07:55 GMT 2024","Thu Jul 11 17:08:16 GMT 2024","21311","chromium","","API key","","","TC_12_49_01 | Verife user can purchase Gold API plan","To verify Business user can successfully purchase an API plan"
"passed","Thu Jul 11 16:46:42 GMT 2024","Thu Jul 11 16:47:38 GMT 2024","55845","chromium","","Folders","","","TC_06_26_01 | Verify the user can assign folder permissions to the team member Admin","To verify the Business user can assign folder permissions to the team member with role Admin. 

                Attention: Page can be reloaded if application state not synchronized"
"passed","Thu Jul 11 17:07:31 GMT 2024","Thu Jul 11 17:07:55 GMT 2024","23399","chromium","","API key","","","TC_12_48_02 | Verify user can copy API key created by the ""Create API"" button in Table","To verify Business user can copy API key created by the ""Create API"" button in Table"
"passed","Thu Jul 11 16:34:11 GMT 2024","Thu Jul 11 16:34:55 GMT 2024","43621","chromium","","DocumentsType","","","TC_05_21_02 | Verify the button ""Revert to Draft"" is active","To verify the document can be returned for editing."
"passed","Thu Jul 11 17:19:08 GMT 2024","Thu Jul 11 17:19:54 GMT 2024","45854","chromium","","Out of scope. Verify document formats to download.","","","Verify document formats to download .ppsx",""
"passed","Thu Jul 11 16:30:36 GMT 2024","Thu Jul 11 16:31:18 GMT 2024","42176","chromium","","Sign Document","","","TC_04_13_01 | Verify the document expiration","To verify that updating the document status to ""expired"" in the database reflects correctly on the front-end display. 
 Attention: Refresh the page twice: 
 - if application state not synchronized 
 - after changing the status in the database."
"passed","Thu Jul 11 17:00:08 GMT 2024","Thu Jul 11 17:01:03 GMT 2024","55562","chromium","","Team","","","TC_09_39_02 | Verify Business User can downgrade an ""Admin"" team member to ""User""","To verify Business User can downgrade an ""Admin"" team member to ""User"""
"passed","Thu Jul 11 17:18:07 GMT 2024","Thu Jul 11 17:18:36 GMT 2024","28844","chromium","","Out of scope. Verify document formats to download.","","","Verify document formats to download .docx",""
"passed","Thu Jul 11 17:20:27 GMT 2024","Thu Jul 11 17:20:56 GMT 2024","28828","chromium","","Out of scope. Verify document formats to download.","","","Verify document formats to download .png",""
"passed","Thu Jul 11 16:39:10 GMT 2024","Thu Jul 11 16:40:13 GMT 2024","63050","chromium","","DocumentsType","","","TC_05_17_01 | Verify user can share a document with a status ""Completed""","To verify business user can share a document with a status ""Completed"" via email"
