"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 28 11:34:38 GMT 2024","Fri Jun 28 11:35:45 GMT 2024","67226","chromium","","DocumentsType","","","TC_05_16_01 | Verify that the user receives an email reminder to sign the document",""
"passed","Fri Jun 28 11:36:31 GMT 2024","Fri Jun 28 11:37:32 GMT 2024","61307","chromium","","Team","","","TC_09_39_01 | Verify that Business User can upgrade a ""User"" team member to ""Admin""","Objective: To verify that Business User can upgrade a ""User"" team member to ""Admin"""
"passed","Fri Jun 28 11:38:31 GMT 2024","Fri Jun 28 11:38:39 GMT 2024","8058","chromium","","Out of scope. Tests to maintain New User Creation.","","","Create Free User",""
"passed","Fri Jun 28 11:30:09 GMT 2024","Fri Jun 28 11:31:23 GMT 2024","73549","chromium","","CreateDocument","","","TC_03_07_05 | Verify that user can sign a document themselves with Initial",""
"passed","Fri Jun 28 11:33:47 GMT 2024","Fri Jun 28 11:34:44 GMT 2024","56341","chromium","","DocumentsType","","","TC_05_21_02 | Verify that button ""Revert to Draft"" is active","Objective: To verify that the document can be returned for editing."
"skipped","Fri Jun 28 11:35:27 GMT 2024","Fri Jun 28 11:35:27 GMT 2024","1","chromium","","Folders","","","TC_06_24_01 | Verify the business user can delete folder",""
"passed","Fri Jun 28 11:31:23 GMT 2024","Fri Jun 28 11:31:57 GMT 2024","34184","chromium","","Sign Document","","","TC_04_11_02 | Verify custom signing order",""
"passed","Fri Jun 28 11:36:05 GMT 2024","Fri Jun 28 11:36:47 GMT 2024","41486","chromium","","Forms","","","TC_08_35_01 | Verify that user can duplicate form","Verify that user can duplicate form"
"passed","Fri Jun 28 11:29:37 GMT 2024","Fri Jun 28 11:30:09 GMT 2024","32066","chromium","","Registration","","","TC_01_03_01 | Verify successful registration of Personal user with Monthly subscription","To verify that a Personal user can successfully register."
"passed","Fri Jun 28 11:35:40 GMT 2024","Fri Jun 28 11:36:31 GMT 2024","50504","chromium","","Templates","","","TC_07_31_01 | Verify that  the user can select Add to API","Objective: To verify the process of add template to API."
"passed","Fri Jun 28 11:37:00 GMT 2024","Fri Jun 28 11:37:28 GMT 2024","28365","chromium","","API key","","","TC_12_48_01_01 | Verify User can copy API key created by the ""Create API"" button on the right.",""
"passed","Fri Jun 28 11:37:51 GMT 2024","Fri Jun 28 11:38:22 GMT 2024","30380","chromium","","Settings: Edit signature","","","TC_13_51_01 | Verify that user can create Signature.",""
"passed","Fri Jun 28 11:33:47 GMT 2024","Fri Jun 28 11:34:38 GMT 2024","51052","chromium","","DocumentsType","","","TC_05_21_01 | Verify that button Edit&Resend is active","Objective: To verify that the document can be returned for editing."
"passed","Fri Jun 28 11:37:28 GMT 2024","Fri Jun 28 11:38:03 GMT 2024","34433","chromium","","API key","","","TC_12_49_01 | Purchase Gold API plan","Objective: Verify that the user can successfully purchase an API plan"
"skipped","Fri Jun 28 11:35:27 GMT 2024","Fri Jun 28 11:35:27 GMT 2024","2","chromium","","Folders","","","TC_06_22_01 | Verify the business user can create folder",""
"skipped","Fri Jun 28 11:35:27 GMT 2024","Fri Jun 28 11:35:27 GMT 2024","1","chromium","","Folders","","","TC_06_23_01 | Rename folder",""
"passed","Fri Jun 28 11:30:03 GMT 2024","Fri Jun 28 11:30:09 GMT 2024","6166","chromium","","Authorization","","","TC_02_05_01 | Verify successful login and the user directed to the sign page","Objective: To verify the process of logging a user into their account."
"passed","Fri Jun 28 11:32:32 GMT 2024","Fri Jun 28 11:33:47 GMT 2024","74859","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself","Objective: To verify sign document as myself"
"passed","Fri Jun 28 11:35:56 GMT 2024","Fri Jun 28 11:36:37 GMT 2024","40522","chromium","","Forms","","","TC_08_32_01 | Verify that user can create form","Verify that user can create form"
"passed","Fri Jun 28 11:34:44 GMT 2024","Fri Jun 28 11:35:56 GMT 2024","72807","chromium","","DocumentsType","","","TC_05_21_03 | Verify that document_status is  Draft","Objective: To verify that the document can be returned for editing."
"passed","Fri Jun 28 11:35:45 GMT 2024","Fri Jun 28 11:37:00 GMT 2024","75016","chromium","","Templates","","","TC_07_28_01 | Verify that user can edit template","Objective: To verify that a user can successfully edit an existing template by changing its name, message, role, and associated document, and ensure that the changes are reflected in the user interface and confirmed by appropriate toast messages."
"passed","Fri Jun 28 11:29:37 GMT 2024","Fri Jun 28 11:30:03 GMT 2024","25691","chromium","","Registration","","","TC_01_02_01 | Verify successful registration of Free user","To verify that a Free user can successfully register."
"passed","Fri Jun 28 11:37:32 GMT 2024","Fri Jun 28 11:38:08 GMT 2024","35450","chromium","","API key","","","TC_12_49_01 | Purchase Platinum API plan","Objective: Verify that the user can successfully purchase an API plan"
"passed","Fri Jun 28 11:38:08 GMT 2024","Fri Jun 28 11:38:30 GMT 2024","22563","chromium","","Billing > Upsell plan","","","TC_14_56_01 | Verify successful upsell of users subscription Personal plan",""
"passed","Fri Jun 28 11:31:57 GMT 2024","Fri Jun 28 11:33:36 GMT 2024","99124","chromium","","Sign Document","","","TC_04_14_01 | Verify adding users who can view the document","To verify the adding viewers / adding users who can view the document."
"passed","Fri Jun 28 11:30:09 GMT 2024","Fri Jun 28 11:32:32 GMT 2024","143061","chromium","","CreateDocument","","","TC_03_07_01 | Sign a document - verify that user can sign a document themselves",""
"passed","Fri Jun 28 11:37:19 GMT 2024","Fri Jun 28 11:37:51 GMT 2024","32338","chromium","","API key","","","TC_12_48_01_02 | Verify User can copy API key created by the ""Create API"" button in Table.",""
