"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","142","38","5","0","0"
"Settings: Edit signature","","","0","0","1","0","0"
"Setting","Billing","","1","1","5","0","0"
"Sign document","","","0","0","2","0","0"
"Registration","","","0","0","4","0","0"
"Profile","","","1","1","1","0","0"
"Settings","","","1","1","0","0","0"
"Create Document","","","1","1","0","0","0"
"Setting","API","","1","0","2","0","0"
"Authorization","","","0","0","1","0","0"
"API","","","0","0","2","0","0"
"Sign a document","","","0","0","1","0","0"
"Documents (typed)","","","0","0","1","0","0"
"Templates","","","0","0","1","0","0"
"Team","","","1","0","0","0","0"
